id,seed,type,x,y,agent_dir,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000001,102,initial,1,1,3,102/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8097,0
000002,102,worst,1,1,3,102/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8097,0
000003,102,transition,2,4,1,102/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,0.8687,0
000004,102,intermediate,2,2,1,102/intermediate_step_0002_0004_find_key.txt,intermediate_step_0002_0004_find_key.txt,2,4,find_key,3,0.8429,0
000005,102,transition,2,2,0,102/transition_step_0040_0042_open_door.txt,transition_step_0040_0042_open_door.txt,40,42,open_door,3,0.9227,0
000006,102,intermediate,2,2,1,102/intermediate_step_0037_0039_open_door.txt,intermediate_step_0037_0039_open_door.txt,37,39,open_door,3,0.9044,0
000007,102,transition,6,5,1,102/transition_step_0052_0054_reach_goal.txt,transition_step_0052_0054_reach_goal.txt,52,54,reach_goal,3,1.0,0
000008,102,intermediate,6,5,3,102/intermediate_step_0050_0052_reach_goal.txt,intermediate_step_0050_0052_reach_goal.txt,50,52,reach_goal,3,0.9801,0
000009,102,off_track,1,3,2,102/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0
000010,102,off_track,1,5,1,102/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8515,0
000011,102,off_track,4,2,1,102/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9415,0
000012,435,initial,3,6,1,435/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8179,0
000013,435,worst,3,6,1,435/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8179,0
000014,435,transition,1,3,3,435/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.8864,0
000015,435,intermediate,1,5,3,435/intermediate_step_0003_0005_find_key.txt,intermediate_step_0003_0005_find_key.txt,3,5,find_key,3,0.8601,0
000016,435,transition,3,4,0,435/transition_step_0016_0018_open_door.txt,transition_step_0016_0018_open_door.txt,16,18,open_door,3,0.951,0
000017,435,intermediate,3,4,1,435/intermediate_step_0013_0015_open_door.txt,intermediate_step_0013_0015_open_door.txt,13,15,open_door,3,0.9321,0
000018,435,transition,6,5,1,435/transition_step_0022_0024_reach_goal.txt,transition_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,1.0,0
000019,435,intermediate,6,4,1,435/intermediate_step_0020_0022_reach_goal.txt,intermediate_step_0020_0022_reach_goal.txt,20,22,reach_goal,3,0.99,0
000020,435,off_track,2,3,1,435/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8515,0
000021,435,off_track,2,1,2,435/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0
000022,435,off_track,5,3,2,435/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0
