id,seed,type,path,file,step_start,step_end,event,n_maps,action,q_value,q_llm
001497,413,intermediate,413/intermediate_step_0019_0021_reach_goal.txt,intermediate_step_0019_0021_reach_goal.txt,19,21,reach_goal,3,right,0.970299,0.97
000725,330,transition,330/transition_step_0020_0022_reach_goal.txt,transition_step_0020_0022_reach_goal.txt,20,22,reach_goal,3,pickup,0.99,0.99
001701,955,intermediate,955/intermediate_step_0031_0033_find_key.txt,intermediate_step_0031_0033_find_key.txt,31,33,find_key,3,right,0.826169,0.7
001316,769,intermediate,769/intermediate_step_0028_0030_reach_goal.txt,intermediate_step_0028_0030_reach_goal.txt,28,30,reach_goal,3,left,0.960596,0.97
001104,130,worst,130/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,toggle,0.868746,0.65
001636,385,off_track,385/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,forward,0.922745,0.78
001070,663,transition,663/transition_step_0055_0057_reach_goal.txt,transition_step_0055_0057_reach_goal.txt,55,57,reach_goal,3,left,0.9801,0.92
001616,385,intermediate,385/intermediate_step_0181_0183_reach_goal.txt,intermediate_step_0181_0183_reach_goal.txt,181,183,reach_goal,3,left,0.95099,0.85
000321,71,intermediate,71/intermediate_step_0001_0003_find_key.txt,intermediate_step_0001_0003_find_key.txt,1,3,find_key,3,right,0.895338,0.45
001431,491,transition,491/transition_step_0066_0068_reach_goal.txt,transition_step_0066_0068_reach_goal.txt,66,68,reach_goal,3,right,0.9801,0.92
000916,372,off_track,372/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,forward,0.877521,0.75
001430,491,transition,491/transition_step_0066_0068_reach_goal.txt,transition_step_0066_0068_reach_goal.txt,66,68,reach_goal,3,left,0.9801,0.96
001486,413,intermediate,413/intermediate_step_0011_0013_open_door.txt,intermediate_step_0011_0013_open_door.txt,11,13,open_door,3,forward,0.877521,0.88
001462,413,worst,413/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,forward,0.860058,0.78
000574,121,off_track,121/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,forward,0.877521,0.65
001602,385,transition,385/transition_step_0179_0181_open_door.txt,transition_step_0179_0181_open_door.txt,179,181,open_door,3,toggle,0.95099,0.95
000275,106,intermediate,106/intermediate_step_0015_0017_reach_goal.txt,intermediate_step_0015_0017_reach_goal.txt,15,17,reach_goal,3,pickup,0.960596,0.75
001355,343,intermediate,343/intermediate_step_0000_0000_find_key.txt,intermediate_step_0000_0000_find_key.txt,0,0,find_key,1,pickup,0.851458,0.15
001251,308,transition,308/transition_step_0079_0081_reach_goal.txt,transition_step_0079_0081_reach_goal.txt,79,81,reach_goal,3,right,0.9801,0.8
000320,71,intermediate,71/intermediate_step_0001_0003_find_key.txt,intermediate_step_0001_0003_find_key.txt,1,3,find_key,3,left,0.895338,0.45
000790,458,intermediate,458/intermediate_step_0025_0027_reach_goal.txt,intermediate_step_0025_0027_reach_goal.txt,25,27,reach_goal,3,forward,0.970299,0.9703
000579,121,off_track,121/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,right,0.842943,0.8687
001250,308,transition,308/transition_step_0079_0081_reach_goal.txt,transition_step_0079_0081_reach_goal.txt,79,81,reach_goal,3,left,0.9801,0.9801
000195,270,transition,270/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,right,0.932065,0.9415
001565,805,off_track,805/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,pickup,0.860058,0.86
000272,106,intermediate,106/intermediate_step_0015_0017_reach_goal.txt,intermediate_step_0015_0017_reach_goal.txt,15,17,reach_goal,3,left,0.95099,0.951
001224,308,worst,308/worst_step_0001_find_key.txt,worst_step_0001_find_key.txt,1,1,find_key,1,toggle,0.826169,0.86
000772,458,transition,458/transition_step_0019_0021_open_door.txt,transition_step_0019_0021_open_door.txt,19,21,open_door,3,forward,0.922745,0.932
000359,700,worst,700/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,pickup,0.826169,0.843
000443,20,intermediate,20/intermediate_step_0268_0270_open_door.txt,intermediate_step_0268_0270_open_door.txt,268,270,open_door,3,pickup,0.94148,0.961
000024,102,transition,102/transition_step_0039_0041_open_door.txt,transition_step_0039_0041_open_door.txt,39,41,open_door,3,toggle,0.913517,0.98
001103,130,worst,130/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,pickup,0.868746,0.94
000983,99,off_track,99/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,pickup,0.851458,0.95
001314,769,transition,769/transition_step_0031_0033_reach_goal.txt,transition_step_0031_0033_reach_goal.txt,31,33,reach_goal,3,toggle,0.99,0.91
001176,661,intermediate,661/intermediate_step_0000_0000_find_key.txt,intermediate_step_0000_0000_find_key.txt,0,0,find_key,1,toggle,0.834514,0.93
000418,20,worst,20/worst_step_0015_find_key.txt,worst_step_0015_find_key.txt,15,15,find_key,1,forward,0.834514,0.8
000764,458,intermediate,458/intermediate_step_0002_0004_find_key.txt,intermediate_step_0002_0004_find_key.txt,2,4,find_key,3,left,0.834514,0.78
001666,191,intermediate,191/intermediate_step_0040_0042_open_door.txt,intermediate_step_0040_0042_open_door.txt,40,42,open_door,3,forward,0.877521,0.84
001000,871,transition,871/transition_step_0000_0002_find_key.txt,transition_step_0000_0002_find_key.txt,0,2,find_key,3,forward,0.886385,0.79
001100,130,worst,130/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,left,0.860058,0.81
000041,102,intermediate,102/intermediate_step_0049_0051_reach_goal.txt,intermediate_step_0049_0051_reach_goal.txt,49,51,reach_goal,3,pickup,0.9801,0.991
000586,121,off_track,121/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,forward,0.868746,0.951
000596,466,transition,466/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,left,0.868746,0.942
000018,102,intermediate,102/intermediate_step_0001_0003_find_key.txt,intermediate_step_0001_0003_find_key.txt,1,3,find_key,3,toggle,0.826169,0.919
000152,860,transition,860/transition_step_0024_0026_reach_goal.txt,transition_step_0024_0026_reach_goal.txt,24,26,reach_goal,3,left,0.9801,0.982
000467,20,off_track,20/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,pickup,0.913517,0.42
001678,191,intermediate,191/intermediate_step_0051_0053_reach_goal.txt,intermediate_step_0051_0053_reach_goal.txt,51,53,reach_goal,3,forward,0.970299,0.78
000119,435,off_track,435/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,pickup,0.94148,0.88
001167,661,transition,661/transition_step_0001_0003_find_key.txt,transition_step_0001_0003_find_key.txt,1,3,find_key,3,right,0.851458,0.12
000629,466,intermediate,466/intermediate_step_0108_0110_reach_goal.txt,intermediate_step_0108_0110_reach_goal.txt,108,110,reach_goal,3,pickup,0.970299,0.88
000507,614,intermediate,614/intermediate_step_0055_0057_reach_goal.txt,intermediate_step_0055_0057_reach_goal.txt,55,57,reach_goal,3,right,0.95099,0.96
001008,871,transition,871/transition_step_0004_0006_open_door.txt,transition_step_0004_0006_open_door.txt,4,6,open_door,3,toggle,0.913517,0.93
001354,343,intermediate,343/intermediate_step_0000_0000_find_key.txt,intermediate_step_0000_0000_find_key.txt,0,0,find_key,1,forward,0.851458,0.85
