id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000130,330,transition,330/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.9044,0.85
000059,71,transition,71/transition_step_0005_0007_open_door.txt,transition_step_0005_0007_open_door.txt,5,7,open_door,3,0.951,0.95
000033,860,off_track,860/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0.98
000257,343,off_track,343/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8864,0.95
000078,20,worst,20/worst_step_0015_find_key.txt,worst_step_0015_find_key.txt,15,15,find_key,1,0.8429,0.65
000158,87,off_track,87/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8687,0.45
000194,663,worst,663/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.45
000247,343,initial,343/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.32
000119,466,off_track,466/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8601,0.88
000238,769,transition,769/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.8515,0.85
000171,372,off_track,372/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0.92
000075,700,off_track,700/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8775,0.65
000118,466,off_track,466/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8429,0.45
000090,614,transition,614/transition_step_0000_0002_find_key.txt,transition_step_0000_0002_find_key.txt,0,2,find_key,3,0.8775,0.65
000122,214,transition,214/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.8953,0.62
