id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000278,413,off_track,413/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9044,0.904
000172,99,initial,99/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8179,0.834
000156,87,transition,87/transition_step_0056_0058_reach_goal.txt,transition_step_0056_0058_reach_goal.txt,56,58,reach_goal,3,1.0,0.99
000266,491,off_track,491/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.9044,0.913
000067,700,worst,700/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.843
000075,700,off_track,700/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8775,0.904
000128,330,initial,330/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.868
000219,661,intermediate,661/intermediate_step_0016_0018_open_door.txt,intermediate_step_0016_0018_open_door.txt,16,18,open_door,3,0.9135,0.922
000220,661,transition,661/transition_step_0026_0028_reach_goal.txt,transition_step_0026_0028_reach_goal.txt,26,28,reach_goal,3,1.0,0.98
000161,372,initial,372/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.9
000186,871,transition,871/transition_step_0005_0007_open_door.txt,transition_step_0005_0007_open_door.txt,5,7,open_door,3,0.9227,0.93
000035,270,worst,270/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.92
000040,270,intermediate,270/intermediate_step_0022_0024_reach_goal.txt,intermediate_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,0.9801,0.97
000131,330,intermediate,330/intermediate_step_0003_0005_find_key.txt,intermediate_step_0003_0005_find_key.txt,3,5,find_key,3,0.8775,0.89
000217,661,intermediate,661/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8515,0.86
000073,700,intermediate,700/intermediate_step_0033_0035_reach_goal.txt,intermediate_step_0033_0035_reach_goal.txt,33,35,reach_goal,3,0.9801,0.92
000051,106,intermediate,106/intermediate_step_0016_0018_reach_goal.txt,intermediate_step_0016_0018_reach_goal.txt,16,18,reach_goal,3,0.9801,0.95
000152,87,transition,87/transition_step_0047_0049_find_key.txt,transition_step_0047_0049_find_key.txt,47,49,find_key,3,0.9135,0.93
000071,700,intermediate,700/intermediate_step_0024_0026_open_door.txt,intermediate_step_0024_0026_open_door.txt,24,26,open_door,3,0.9044,0.93
000100,121,transition,121/transition_step_0003_0005_find_key.txt,transition_step_0003_0005_find_key.txt,3,5,find_key,3,0.8864,0.88
000300,385,off_track,385/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0.89
000077,20,initial,20/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.87
000079,20,transition,20/transition_step_0195_0197_find_key.txt,transition_step_0195_0197_find_key.txt,195,197,find_key,3,0.8864,0.91
000123,214,intermediate,214/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8687,0.9
000117,466,off_track,466/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8429,0.8687
000203,130,initial,130/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8775,0.8953
000107,121,off_track,121/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8601,0.8687
000116,466,intermediate,466/intermediate_step_0109_0111_reach_goal.txt,intermediate_step_0109_0111_reach_goal.txt,109,111,reach_goal,3,0.99,0.9703
000037,270,transition,270/transition_step_0020_0022_open_door.txt,transition_step_0020_0022_open_door.txt,20,22,open_door,3,0.9606,0.951
000306,191,transition,191/transition_step_0044_0046_open_door.txt,transition_step_0044_0046_open_door.txt,44,46,open_door,3,0.9044,0.9044
000026,860,intermediate,860/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0.9321
000129,330,worst,330/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.8687
000296,385,intermediate,385/intermediate_step_0177_0179_open_door.txt,intermediate_step_0177_0179_open_door.txt,177,179,open_door,3,0.9321,0.941
000047,106,intermediate,106/intermediate_step_0002_0004_find_key.txt,intermediate_step_0002_0004_find_key.txt,2,4,find_key,3,0.8687,0.851
000270,413,worst,413/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.86
000081,20,transition,20/transition_step_0272_0274_open_door.txt,transition_step_0272_0274_open_door.txt,272,274,open_door,3,0.9703,0.97
000285,805,intermediate,805/intermediate_step_0072_0074_open_door.txt,intermediate_step_0072_0074_open_door.txt,72,74,open_door,3,0.9227,0.923
000135,330,intermediate,330/intermediate_step_0018_0020_reach_goal.txt,intermediate_step_0018_0020_reach_goal.txt,18,20,reach_goal,3,0.9801,0.914
000311,955,initial,955/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.851
000018,435,transition,435/transition_step_0022_0024_reach_goal.txt,transition_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,1.0,0.914
000188,871,transition,871/transition_step_0015_0017_reach_goal.txt,transition_step_0015_0017_reach_goal.txt,15,17,reach_goal,3,1.0,0.99
000085,20,off_track,20/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8345,0.87
000044,106,initial,106/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.85
000202,663,off_track,663/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0.92
000303,191,worst,191/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.85
