id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000246,769,off_track,769/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9044,0.95
000104,121,transition,121/transition_step_0098_0102_reach_goal.txt,transition_step_0098_0102_reach_goal.txt,98,102,reach_goal,5,1.0,0.85
000057,71,transition,71/transition_step_0000_0004_find_key.txt,transition_step_0000_0004_find_key.txt,0,4,find_key,5,0.9227,0.85
000076,700,off_track,700/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9321,0.95
000060,71,intermediate,71/intermediate_step_0000_0004_open_door.txt,intermediate_step_0000_0004_open_door.txt,0,4,open_door,5,0.9227,0.85
000122,214,transition,214/transition_step_0000_0004_find_key.txt,transition_step_0000_0004_find_key.txt,0,4,find_key,5,0.8953,0.82
000175,99,intermediate,99/intermediate_step_0002_0006_find_key.txt,intermediate_step_0002_0006_find_key.txt,2,6,find_key,5,0.8601,0.15
000188,871,transition,871/transition_step_0013_0017_reach_goal.txt,transition_step_0013_0017_reach_goal.txt,13,17,reach_goal,5,1.0,0.85
000157,87,intermediate,87/intermediate_step_0052_0056_reach_goal.txt,intermediate_step_0052_0056_reach_goal.txt,52,56,reach_goal,5,0.9801,1.0
000023,860,initial,860/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.35
000232,308,intermediate,308/intermediate_step_0075_0079_reach_goal.txt,intermediate_step_0075_0079_reach_goal.txt,75,79,reach_goal,5,0.9801,0.85
000245,769,off_track,769/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.8864,0.45
000275,413,transition,413/transition_step_0020_0024_reach_goal.txt,transition_step_0020_0024_reach_goal.txt,20,24,reach_goal,5,1.0,0.95
000005,102,transition,102/transition_step_0038_0042_open_door.txt,transition_step_0038_0042_open_door.txt,38,42,open_door,5,0.9227,0.98
000272,413,intermediate,413/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8687,0.45
000164,372,intermediate,372/intermediate_step_0106_0110_find_key.txt,intermediate_step_0106_0110_find_key.txt,106,110,find_key,5,0.8953,0.15
000249,343,transition,343/transition_step_0000_0004_find_key.txt,transition_step_0000_0004_find_key.txt,0,4,find_key,5,0.8864,0.85
000295,385,transition,385/transition_step_0178_0182_open_door.txt,transition_step_0178_0182_open_door.txt,178,182,open_door,5,0.9606,0.95
000264,491,transition,491/transition_step_0064_0068_reach_goal.txt,transition_step_0064_0068_reach_goal.txt,64,68,reach_goal,5,1.0,0.95
000015,435,intermediate,435/intermediate_step_0001_0005_find_key.txt,intermediate_step_0001_0005_find_key.txt,1,5,find_key,5,0.8601,0.45
000074,700,off_track,700/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8097,0.25
