id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000112,466,intermediate,466/intermediate_step_0002_0006_find_key.txt,intermediate_step_0002_0006_find_key.txt,2,6,find_key,5,0.8687,0.85
000232,308,intermediate,308/intermediate_step_0075_0079_reach_goal.txt,intermediate_step_0075_0079_reach_goal.txt,75,79,reach_goal,5,0.9801,0.95
000031,860,off_track,860/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8775,0.75
000244,769,off_track,769/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8179,0.95
000275,413,transition,413/transition_step_0020_0024_reach_goal.txt,transition_step_0020_0024_reach_goal.txt,20,24,reach_goal,5,1.0,0.98
000160,87,off_track,87/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,1.0,0.97
000167,372,transition,372/transition_step_0156_0160_reach_goal.txt,transition_step_0156_0160_reach_goal.txt,156,160,reach_goal,5,1.0,0.98
000274,413,intermediate,413/intermediate_step_0010_0014_open_door.txt,intermediate_step_0010_0014_open_door.txt,10,14,open_door,5,0.9135,0.0
000284,805,transition,805/transition_step_0073_0077_open_door.txt,transition_step_0073_0077_open_door.txt,73,77,open_door,5,0.951,0.1
000198,663,transition,663/transition_step_0053_0057_reach_goal.txt,transition_step_0053_0057_reach_goal.txt,53,57,reach_goal,5,1.0,0.95
000161,372,initial,372/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0.9
000072,700,transition,700/transition_step_0033_0037_reach_goal.txt,transition_step_0033_0037_reach_goal.txt,33,37,reach_goal,5,1.0,0.95
000270,413,worst,413/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.12
000212,130,off_track,130/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.9044,0.85
000289,805,off_track,805/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.9415,0.65
