id,seed,type,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000147,458,off_track,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8515,0.85
000003,102,transition,102/transition_step_0003_0007_find_key.txt,transition_step_0003_0007_find_key.txt,3,7,find_key,5,0.8687,0.75
000077,20,initial,20/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.65
000291,385,initial,385/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8775,0.7
000176,99,transition,99/transition_step_0035_0039_open_door.txt,transition_step_0035_0039_open_door.txt,35,39,open_door,5,0.9321,0.15
000306,191,transition,191/transition_step_0042_0046_open_door.txt,transition_step_0042_0046_open_door.txt,42,46,open_door,5,0.9044,0.1
000173,99,worst,99/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8179,0.35
000263,491,intermediate,491/intermediate_step_0055_0059_open_door.txt,intermediate_step_0055_0059_open_door.txt,55,59,open_door,5,0.9227,0.15
000262,491,transition,491/transition_step_0058_0062_open_door.txt,transition_step_0058_0062_open_door.txt,58,62,open_door,5,0.9415,0.95
000102,121,transition,121/transition_step_0082_0086_open_door.txt,transition_step_0082_0086_open_door.txt,82,86,open_door,5,0.9135,0.94
000092,614,intermediate,614/intermediate_step_0045_0049_open_door.txt,intermediate_step_0045_0049_open_door.txt,45,49,open_door,5,0.9135,0.85
000056,71,worst,71/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8864,0.35
000023,860,initial,860/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.85
000045,106,worst,106/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.65
000122,214,transition,214/transition_step_0000_0004_find_key.txt,transition_step_0000_0004_find_key.txt,0,4,find_key,5,0.8953,0.98
000035,270,worst,270/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0.86
000018,435,transition,435/transition_step_0020_0024_reach_goal.txt,transition_step_0020_0024_reach_goal.txt,20,24,reach_goal,5,1.0,0.15
000059,71,transition,71/transition_step_0003_0007_open_door.txt,transition_step_0003_0007_open_door.txt,3,7,open_door,5,0.951,0.2
000251,343,transition,343/transition_step_0194_0198_open_door.txt,transition_step_0194_0198_open_door.txt,194,198,open_door,5,0.9321,0.35
000022,435,off_track,435/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9801,0.85
000219,661,intermediate,661/intermediate_step_0014_0018_open_door.txt,intermediate_step_0014_0018_open_door.txt,14,18,open_door,5,0.9135,0.01
000198,663,transition,663/transition_step_0053_0057_reach_goal.txt,transition_step_0053_0057_reach_goal.txt,53,57,reach_goal,5,1.0,0.85
000115,466,transition,466/transition_step_0109_0113_reach_goal.txt,transition_step_0109_0113_reach_goal.txt,109,113,reach_goal,5,1.0,0.85
000099,121,worst,121/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.65
000171,372,off_track,372/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9415,0.99
000200,663,off_track,663/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8097,0.95
000139,458,initial,458/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.85
000249,343,transition,343/transition_step_0000_0004_find_key.txt,transition_step_0000_0004_find_key.txt,0,4,find_key,5,0.8864,0.1
000061,71,transition,71/transition_step_0010_0014_reach_goal.txt,transition_step_0010_0014_reach_goal.txt,10,14,reach_goal,5,1.0,0.6
000084,20,intermediate,20/intermediate_step_0271_0275_reach_goal.txt,intermediate_step_0271_0275_reach_goal.txt,271,275,reach_goal,5,0.9801,0.9
000012,435,initial,435/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8179,0.95
000086,20,off_track,20/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.9135,0.98
000266,491,off_track,491/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.9044,0.75
000088,614,initial,614/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.95
000067,700,worst,700/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.92
000217,661,intermediate,661/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8515,0.96
000066,700,initial,700/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0.95
000281,805,worst,805/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8515,0.92
000069,700,intermediate,700/intermediate_step_0000_0002_find_key.txt,intermediate_step_0000_0002_find_key.txt,0,2,find_key,3,0.8515,0.85
000054,106,off_track,106/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9415,0.95
000277,413,off_track,413/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8429,0.45
000132,330,transition,330/transition_step_0010_0014_open_door.txt,transition_step_0010_0014_open_door.txt,10,14,open_door,5,0.9415,0.35
000065,71,off_track,71/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.9044,0.95
000156,87,transition,87/transition_step_0054_0058_reach_goal.txt,transition_step_0054_0058_reach_goal.txt,54,58,reach_goal,5,1.0,0.7
000254,343,intermediate,343/intermediate_step_0203_0207_reach_goal.txt,intermediate_step_0203_0207_reach_goal.txt,203,207,reach_goal,5,0.99,0.92
000049,106,intermediate,106/intermediate_step_0004_0008_open_door.txt,intermediate_step_0004_0008_open_door.txt,4,8,open_door,5,0.9044,0.05
000223,661,off_track,661/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,5,0.8864,0.85
000247,343,initial,343/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0.82
000226,308,worst,308/worst_step_0001_find_key.txt,worst_step_0001_find_key.txt,1,1,find_key,1,0.8345,0.95
000004,102,intermediate,102/intermediate_step_0000_0004_find_key.txt,intermediate_step_0000_0004_find_key.txt,0,4,find_key,5,0.8429,0.6
000268,491,off_track,491/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,5,0.8953,0.95
000264,491,transition,491/transition_step_0064_0068_reach_goal.txt,transition_step_0064_0068_reach_goal.txt,64,68,reach_goal,5,1.0,0.85
000243,769,intermediate,769/intermediate_step_0027_0031_reach_goal.txt,intermediate_step_0027_0031_reach_goal.txt,27,31,reach_goal,5,0.9801,0.75
000017,435,intermediate,435/intermediate_step_0011_0015_open_door.txt,intermediate_step_0011_0015_open_door.txt,11,15,open_door,5,0.9321,0.45
000074,700,off_track,700/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,5,0.8097,0.1
000214,661,initial,661/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0.6
000195,663,transition,663/transition_step_0000_0003_find_key.txt,transition_step_0000_0003_find_key.txt,0,3,find_key,4,0.8953,0.8
000155,87,intermediate,87/intermediate_step_0046_0050_open_door.txt,intermediate_step_0046_0050_open_door.txt,46,50,open_door,5,0.9227,0.65
000237,769,worst,769/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0.85
